Data Name	MxdUsedIn	CountPerMxd	CountTotal
ENVGIS.ny_npl	envviewer.mxd	1	2
ENVGIS.ny_npl	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.ny_rcr	envviewer.mxd	1	2
ENVGIS.ny_rcr	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.ny_ssa	envviewer.mxd	1	2
ENVGIS.ny_ssa	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.ny_tri	envviewer.mxd	1	2
ENVGIS.ny_tri	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.nycso	envviewer.mxd	1	2
ENVGIS.nycso	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.nyfaults	envviewer.mxd	1	2
ENVGIS.nyfaults	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.nynhp_dot_comms	NaturalHeritage.mxd	1	1
ENVGIS.nynhp_dot_indiana_and_northern	NaturalHeritage.mxd	1	1
ENVGIS.nynhp_dot_known	NaturalHeritage.mxd	1	1
ENVGIS.nynhp_dot_potential	NaturalHeritage.mxd	1	1
ENVGIS.oilgas_wells05	envviewer.mxd	1	2
ENVGIS.oilgas_wells05	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.ozone_new	envviewer.mxd	1	2
ENVGIS.ozone_new	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.part_203	envviewer.mxd	1	2
ENVGIS.part_203	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.phosrestr24	envviewer.mxd	1	2
ENVGIS.phosrestr24	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.phys_provinces	envviewer.mxd	1	2
ENVGIS.phys_provinces	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.pm10_shore	envviewer.mxd	1	2
ENVGIS.pm10_shore	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.pm25	envviewer.mxd	1	2
ENVGIS.pm25	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.points	envviewer.mxd	1	2
ENVGIS.points	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.polygons	envviewer.mxd	1	2
ENVGIS.polygons	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.polygons_060602	NaturalHeritage.mxd	1	1
ENVGIS.potential_ej_areas	envviewer.mxd	1	2
ENVGIS.potential_ej_areas	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.primaqu	envviewer.mxd	1	2
ENVGIS.primaqu	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.primefarm_110429	envviewer.mxd	1	2
ENVGIS.primefarm_110429	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.quads	envviewer.mxd	1	2
ENVGIS.quads	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.r3_dumdum	envviewer.mxd	1	2
ENVGIS.r3_dumdum	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.reg_ms4	envviewer.mxd	1	2
ENVGIS.reg_ms4	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.regulatory_arcs	envviewer.mxd	1	3
ENVGIS.regulatory_arcs	envviewer_wvmoap134_backup.mxd	1	3
ENVGIS.regulatory_arcs	NaturalHeritage.mxd	1	3
ENVGIS.regulatory_polygons	envviewer.mxd	1	3
ENVGIS.regulatory_polygons	envviewer_wvmoap134_backup.mxd	1	3
ENVGIS.regulatory_polygons	NaturalHeritage.mxd	1	3
ENVGIS.remediation_sites	envviewer.mxd	1	2
ENVGIS.remediation_sites	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.scenic_areas	envviewer.mxd	1	2
ENVGIS.scenic_areas	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.Scenic_Byways	envviewer.mxd	1	2
ENVGIS.Scenic_Byways	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.SmallCulvers_EPriorities	envviewer.mxd	1	2
ENVGIS.SmallCulvers_EPriorities	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.spills_mar_04_material	envviewer.mxd	1	2
ENVGIS.spills_mar_04_material	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.springs	envviewer.mxd	1	2
ENVGIS.springs	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.state_acquis	envviewer.mxd	1	2
ENVGIS.state_acquis	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.stream24	envviewer.mxd	1	2
ENVGIS.stream24	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.surficial	envviewer.mxd	1	2
ENVGIS.surficial	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.tbins	envviewer.mxd	1	2
ENVGIS.tbins	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.tidal	envviewer.mxd	1	3
ENVGIS.tidal	envviewer_wvmoap134_backup.mxd	1	3
ENVGIS.tidal	NaturalHeritage.mxd	1	3
ENVGIS.tmdl_basins	envviewer.mxd	1	2
ENVGIS.tmdl_basins	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.tri	envviewer.mxd	1	2
ENVGIS.tri	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.VRA_2008_lines	envviewer.mxd	1	2
ENVGIS.VRA_2008_lines	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.VRA_2008_pts	envviewer.mxd	1	2
ENVGIS.VRA_2008_pts	envviewer_wvmoap134_backup.mxd	1	2
ENVGIS.wells	envviewer.mxd	1	2
ENVGIS.wells	envviewer_wvmoap134_backup.mxd	1	2
FW.ACEPorts	No Map Using	0	0
FW.AdirondackCatskill	envviewer.mxd	1	2
FW.AdirondackCatskill	envviewer_wvmoap134_backup.mxd	1	2
FW.AirportBoundary	No Map Using	0	0
FW.AirportLocation	No Map Using	0	0
FW.AirTerminal	No Map Using	0	0
FW.AreaHydrography	envviewer.mxd	1	2
FW.AreaHydrography	envviewer_wvmoap134_backup.mxd	1	2
FW.BikeRoutes	No Map Using	0	0
FW.BoatLaunch	No Map Using	0	0
FW.BoundaryLine	No Map Using	0	0
FW.Bridge	AgileAssets.mxd	1	7
FW.Bridge	envviewer.mxd	1	7
FW.Bridge	envviewer_wvmoap134_backup.mxd	1	7
FW.Bridge	NaturalHeritage.mxd	1	7
FW.Bridge	ris.mxd	1	7
FW.Bridge	ris_09202017.mxd	1	7
FW.Bridge	ris_geocortex.mxd	1	7
FW.BusStation	CAMCI.mxd	1	3
FW.BusStation	CAMCI_BDIS.mxd	1	3
FW.BusStation	CAMCI_BDIS_SC.mxd	1	3
FW.CityTax	No Map Using	0	0
FW.CityTown	ris.mxd	1	2
FW.CityTown	ris_09202017.mxd	1	2
FW.CityTownShoreline	ris_geocortex.mxd	1	2
FW.CityTownShoreline	SharedServices.mxd	1	2
FW.CollegeUniversity	No Map Using	0	0
FW.County	ZoomToPlace.mxd	2	4
FW.County	ris.mxd	1	4
FW.County	ris_09202017.mxd	1	4
FW.CountyRecreation	envviewer.mxd	1	2
FW.CountyRecreation	envviewer_wvmoap134_backup.mxd	1	2
FW.CountySeat	No Map Using	0	0
FW.CountyShoreline	envviewer.mxd	1	6
FW.CountyShoreline	envviewer_wvmoap134_backup.mxd	1	6
FW.CountyShoreline	PST.mxd	1	6
FW.CountyShoreline	PST_Rest.mxd	1	6
FW.CountyShoreline	ris_geocortex.mxd	1	6
FW.CountyShoreline	SharedServices.mxd	1	6
FW.Customs	No Map Using	0	0
FW.DOTFacility	envviewer.mxd	1	2
FW.DOTFacility	envviewer_wvmoap134_backup.mxd	1	2
FW.DOTRegions	ZoomToPlace.mxd	2	13
FW.DOTRegions	envviewer.mxd	1	13
FW.DOTRegions	envviewer_wvmoap134_backup.mxd	1	13
FW.DOTRegions	maintviewer - Copy.mxd	1	13
FW.DOTRegions	maintviewer.mxd	1	13
FW.DOTRegions	maintviewer_GISP.mxd	1	13
FW.DOTRegions	mesonet.mxd	1	13
FW.DOTRegions	NaturalHeritage.mxd	1	13
FW.DOTRegions	pmi.mxd	1	13
FW.DOTRegions	R7RoadHistory.mxd	1	13
FW.DOTRegions	RailDataViewer.mxd	1	13
FW.DOTRegions	StatePlanning.mxd	1	13
FW.DOTRegionsShoreline	AgileAssets.mxd	1	2
FW.DOTRegionsShoreline	BikeRoutes.mxd	1	2
FW.DOTResidencies	ZoomToPlace.mxd	2	4
FW.DOTResidencies	envviewer.mxd	1	4
FW.DOTResidencies	envviewer_wvmoap134_backup.mxd	1	4
FW.DOTTowers	No Map Using	0	0
FW.EconomicDevelopmentZones	No Map Using	0	0
FW.Exit	No Map Using	0	0
FW.Fairground	No Map Using	0	0
FW.FederalNonRecreation	No Map Using	0	0
FW.FederalRecreation	envviewer.mxd	1	2
FW.FederalRecreation	envviewer_wvmoap134_backup.mxd	1	2
FW.FHWAUrbanAreas2000	No Map Using	0	0
FW.FHWAUrbanAreas2010	ris.mxd	1	3
FW.FHWAUrbanAreas2010	ris_09202017.mxd	1	3
FW.FHWAUrbanAreas2010	ris_geocortex.mxd	1	3
FW.FreightStations	No Map Using	0	0
FW.GeneralHydrography	No Map Using	0	0
FW.GovernmentOffice	No Map Using	0	0
FW.Heliport	No Map Using	0	0
FW.Hospital	CAMCI.mxd	1	3
FW.Hospital	CAMCI_BDIS.mxd	1	3
FW.Hospital	CAMCI_BDIS_SC.mxd	1	3
FW.Hydrography3m	No Map Using	0	0
FW.IndianReservation	envviewer.mxd	1	2
FW.IndianReservation	envviewer_wvmoap134_backup.mxd	1	2
FW.InnerCityTax	No Map Using	0	0
FW.Institution	No Map Using	0	0
FW.InterstateMilepost	No Map Using	0	0
FW.InterstateMilepostRoute	No Map Using	0	0
FW.Junctions	No Map Using	0	0
FW.Library	No Map Using	0	0
FW.LinearHydrography	envviewer.mxd	1	2
FW.LinearHydrography	envviewer_wvmoap134_backup.mxd	1	2
FW.Locks	No Map Using	0	0
FW.MajorHighway	envviewer.mxd	1	2
FW.MajorHighway	envviewer_wvmoap134_backup.mxd	1	2
FW.MajorRetailCenter	No Map Using	0	0
FW.Maneuver	No Map Using	0	0
FW.MilepointRoute	ris.mxd	2	7
FW.MilepointRoute	ris_09202017.mxd	2	7
FW.MilepointRoute	ris_geocortex.mxd	2	7
FW.MilepointRoute	AgileAssets.mxd	1	7
FW.MPOBoundaries	No Map Using	0	0
FW.MunicipalRecreation	envviewer.mxd	1	2
FW.MunicipalRecreation	envviewer_wvmoap134_backup.mxd	1	2
FW.NortheastStates	No Map Using	0	0
FW.NursingHome	No Map Using	0	0
FW.NYAssemblyDistricts	CAMCI.mxd	1	4
FW.NYAssemblyDistricts	CAMCI_BDIS.mxd	1	4
FW.NYAssemblyDistricts	CAMCI_BDIS_SC.mxd	1	4
FW.NYAssemblyDistricts	StatePlanning.mxd	1	4
FW.NYEconomicDevelopmentRegions	No Map Using	0	0
FW.NYGasCompanies	No Map Using	0	0
FW.NYPowerCompanies	No Map Using	0	0
FW.NYSenateDistricts	CAMCI.mxd	1	4
FW.NYSenateDistricts	CAMCI_BDIS.mxd	1	4
FW.NYSenateDistricts	CAMCI_BDIS_SC.mxd	1	4
FW.NYSenateDistricts	StatePlanning.mxd	1	4
FW.ParkingArea	No Map Using	0	0
FW.PassengerStations	No Map Using	0	0
FW.PlaceLocation	No Map Using	0	0
FW.PointOfInterest	No Map Using	0	0
FW.PostalBoundary	envviewer.mxd	1	2
FW.PostalBoundary	envviewer_wvmoap134_backup.mxd	1	2
FW.PostalInventory	No Map Using	0	0
FW.PublicSchool	No Map Using	0	0
FW.Railroad	RailDataViewer.mxd	1	1
FW.RailroadRemoved	No Map Using	0	0
FW.ReferenceMarker	CAMCI.mxd	9	91
FW.ReferenceMarker	CAMCI_BDIS.mxd	9	91
FW.ReferenceMarker	CAMCI_BDIS_SC.mxd	9	91
FW.ReferenceMarker	envviewer.mxd	9	91
FW.ReferenceMarker	envviewer_wvmoap134_backup.mxd	9	91
FW.ReferenceMarker	R7RoadHistory.mxd	9	91
FW.ReferenceMarker	ris.mxd	9	91
FW.ReferenceMarker	ris_09202017.mxd	9	91
FW.ReferenceMarker	ris_geocortex.mxd	9	91
FW.ReferenceMarker	StatePlanning.mxd	9	91
FW.ReferenceMarker	AgileAssets.mxd	1	91
FW.RefMkrRoute	No Map Using	0	0
FW.SchoolDistricts	No Map Using	0	0
FW.SeaPlaneBase	No Map Using	0	0
FW.ServiceArea	No Map Using	0	0
FW.State	ZoomToPlace.mxd	1	1
FW.StateCampground	No Map Using	0	0
FW.StateNonRecreation	No Map Using	0	0
FW.StateRecreation	envviewer.mxd	1	2
FW.StateRecreation	envviewer_wvmoap134_backup.mxd	1	2
FW.StateShoreline	No Map Using	0	0
FW.StreetsSimple	envviewer.mxd	1	2
FW.StreetsSimple	envviewer_wvmoap134_backup.mxd	1	2
FW.StreetsSimpleNew	No Map Using	0	0
FW.TollPlaza	No Map Using	0	0
FW.TouristInfo	No Map Using	0	0
FW.TransportationTerminal	No Map Using	0	0
FW.USCongressionalDistricts	CAMCI.mxd	1	4
FW.USCongressionalDistricts	CAMCI_BDIS.mxd	1	4
FW.USCongressionalDistricts	CAMCI_BDIS_SC.mxd	1	4
FW.USCongressionalDistricts	StatePlanning.mxd	1	4
FW.VAHospital	No Map Using	0	0
FW.Village	ris.mxd	1	3
FW.Village	ris_09202017.mxd	1	3
FW.Village	SharedServices.mxd	1	3
FW.VillageShoreline	ris_geocortex.mxd	1	1
GIS.AADT_Current	No Map Using	0	0
GIS.ABP_Bridges	No Map Using	0	0
GIS.ABP_DB	No Map Using	0	0
GIS.ABP_DBB	No Map Using	0	0
GIS.ActiveBridgeProjectsWM	ActiveProjects_GCTX.mxd	1	1
GIS.ActiveHighwayProjectsPtsWM	ActiveProjects_GCTX.mxd	1	1
GIS.ActiveHighwayProjectsWM	ActiveProjects_GCTX.mxd	1	1
GIS.ActiveLocatedProjectsWM	ActiveProjects_GCTX.mxd	1	1
GIS.ActiveRegionwideProjectsWM	No Map Using	0	0
GIS.ALB_CrashCrimePilot	No Map Using	0	0
GIS.APBPhaseBoundries	No Map Using	0	0
GIS.BackgroundHydro	No Map Using	0	0
GIS.BackgroundHydro_full	No Map Using	0	0
GIS.BDIS_BRIDGES	PST.mxd	4	11
GIS.BDIS_BRIDGES	PST_Rest.mxd	4	11
GIS.BDIS_BRIDGES	CAMCI.mxd	2	11
GIS.BDIS_BRIDGES	pstbin.mxd	1	11
GIS.BDIS_BRIDGES_TEST	CAMCI_Bridges_Null.mxd	1	1
GIS.BDIS_LARGECULVERTS	CAMCI.mxd	1	4
GIS.BDIS_LARGECULVERTS	CAMCI_BDIS.mxd	1	4
GIS.BDIS_LARGECULVERTS	CAMCI_BDIS_SC.mxd	1	4
GIS.BDIS_LARGECULVERTS	envviewer.mxd	1	4
GIS.BDMS_BRIDGE_PERMIT_DATA	No Map Using	0	0
GIS.BikeFacilities	No Map Using	0	0
GIS.BikeRoutes	BikeRoutes.mxd	1	1
GIS.BikeRoutes_NotClipped	No Map Using	0	0
GIS.BINGHAMTON125	No Map Using	0	0
GIS.BORING_LOCATIONS	No Map Using	0	0
GIS.BORING_LOCATIONS_UNMAPPABLE	No Map Using	0	0
GIS.BORING_LOCATIONS_WRONG_COUNTY	No Map Using	0	0
GIS.BORING_TABLE	No Map Using	0	0
GIS.BPO_Availability_WGS	No Map Using	0	0
GIS.BPO_Bid_On_CBs_Phase1	No Map Using	0	0
GIS.BPO_Cable_25_to_99_Dissolve	No Map Using	0	0
GIS.BPO_Cable_All_Dissolve	No Map Using	0	0
GIS.BPO_Cable_GreaterEqual100_Dis	No Map Using	0	0
GIS.BPO_Cable_lessThan25_Dissolve	No Map Using	0	0
GIS.BPO_Census_Blocks_2010	No Map Using	0	0
GIS.BPO_Census_Blocks_2010_Light	No Map Using	0	0
GIS.BPO_Charter_TW_Franchise	No Map Using	0	0
GIS.BPO_ConnectNY_CB_List	No Map Using	0	0
GIS.BPO_ConnectNY_CB_List_Intrsct	No Map Using	0	0
GIS.BPO_DSL_25_to_99_Dissolve	No Map Using	0	0
GIS.BPO_DSL_All_Dissolve	No Map Using	0	0
GIS.BPO_DSL_greaterEqual100_Dis	No Map Using	0	0
GIS.BPO_DSL_lessThan25_Dissolve	No Map Using	0	0
GIS.BPO_Fiber_25_to_99_Dissolve	No Map Using	0	0
GIS.BPO_Fiber_All_Dissolve	No Map Using	0	0
GIS.BPO_Fiber_GreaterEqual100_Dis	No Map Using	0	0
GIS.BPO_Fiber_lessThan25_Dissolve	No Map Using	0	0
GIS.BPO_FixW_25_to_99_Dissolve	No Map Using	0	0
GIS.BPO_FixW_All_Dissolve	No Map Using	0	0
GIS.BPO_FixW_GreaterEqual100_Dis	No Map Using	0	0
GIS.BPO_FixW_lessThan25_Dissolve	No Map Using	0	0
GIS.BPO_Layer1	No Map Using	0	0
GIS.BPO_MaxAdDown_06_2015_v2	No Map Using	0	0
GIS.BPO_NoBroadbandAvailable_Dis	No Map Using	0	0
GIS.BPO_REDC	No Map Using	0	0
GIS.BPO_REDC_WGS	No Map Using	0	0
GIS.BPO_Underserved_CBs_Phase1	No Map Using	0	0
GIS.BPO_Unserved_CBs_Phase1	No Map Using	0	0
GIS.BPO_Verizon_CAF	No Map Using	0	0
GIS.BPO_WGS_Cable_25_to_99_Dis	No Map Using	0	0
GIS.BPO_WGS_Cable_GrtrEqual100_Dis	No Map Using	0	0
GIS.BPO_WGS_Cable_lessThan25_Dis	No Map Using	0	0
