DataName;UsedInMxd;CountUsed
ENVGIS.potential_ej_areas;Yes;2
ENVGIS.NHD_waterbodies;Yes;2
ENVGIS.oilgas_wells05;Yes;2
ENVGIS.NY_Aquifers_region;Yes;2
ENVGIS.polygons_060602;Yes;1
ENVGIS.regulatory_arcs;Yes;3
ENVGIS.tmdl_basins;Yes;2
ENVGIS.nyfaults;Yes;2
ENVGIS.tbins;Yes;2
ENVGIS.farm_si_110429;Yes;2
ENVGIS.hydric_soils_110429;Yes;2
ENVGIS.ny_tri;Yes;2
ENVGIS.Critical_Env_Areas;No;0
ENVGIS.polygons;Yes;2
ENVGIS.dec11_new;Yes;2
ENVGIS.DEC303d_lines;Yes;2
ENVGIS.quads;Yes;2
ENVGIS.nynhp_dot_comms;Yes;1
ENVGIS.city48;Yes;2
ENVGIS.remediation_sites;Yes;2
ENVGIS.phosrestr24;Yes;2
ENVGIS.cr_reports;Yes;2
ENVGIS.IA_SouthernLeopardFrog;No;0
ENVGIS.IA_PeregrineFalcon;No;0
ENVGIS.duct24;Yes;2
ENVGIS.dva_pip;Yes;2
ENVGIS.Env_easement;Yes;2
ENVGIS.wells;Yes;2
ENVGIS.historic_bridges;Yes;2
ENVGIS.nri_join;Yes;2
ENVGIS.bedrock;Yes;2
ENVGIS.IA_FenceLizard;No;0
ENVGIS.IA_Birds_SaltMarsh_historical;No;0
ENVGIS.co_new;Yes;2
ENVGIS.nwi_arcs;Yes;2
ENVGIS.NHD_Area;Yes;2
ENVGIS.NHD_flowline;Yes;2
ENVGIS.landuse;Yes;2
ENVGIS.buffer_060602;Yes;1
ENVGIS.SmallCulvers_EPriorities;Yes;2
ENVGIS.ny_npl;Yes;2
ENVGIS.stream24;Yes;2
ENVGIS.ny_cerclis;Yes;2
ENVGIS.dec_permitted_facility;Yes;2
ENVGIS.dec_land;Yes;2
ENVGIS.primefarm_110429;Yes;2
ENVGIS.nynhp_dot_potential;Yes;1
ENVGIS.IA_S_Leopard_Frog_historical;No;0
ENVGIS.ny_rcr;Yes;2
ENVGIS.IA_Wormsnake;No;0
ENVGIS.tidal;Yes;3
ENVGIS.hydric_soils;Yes;1
ENVGIS.nynhp_dot_indiana_and_northern;Yes;1
ENVGIS.haz_subst_merged;Yes;2
ENVGIS.spills_mar_04_material;Yes;2
ENVGIS.state_acquis;Yes;2
ENVGIS.primaqu;Yes;2
ENVGIS.IA_Birds_Woodland_KWarbler;No;0
ENVGIS.nynhp_dot_known;Yes;1
ENVGIS.hwys_TEST;No;0
ENVGIS.decwet_poly;Yes;2
ENVGIS.CONUS_wet_poly_utm;Yes;1
ENVGIS.dva_1990_w_count_by_rm;Yes;2
ENVGIS.pm25;Yes;2
ENVGIS.basin24;Yes;2
ENVGIS.phys_provinces;Yes;2
ENVGIS.NHD_SubBasins;Yes;2
ENVGIS.r3_dumdum;Yes;2
FW.CountySeat;No;0
FW.PostalBoundary;Yes;2
FW.EconomicDevelopmentZones;No;0
FW.CountyRecreation;Yes;2
FW.MajorRetailCenter;No;0
FW.SeaPlaneBase;No;0
FW.IndianReservation;Yes;2
FW.AirportLocation;No;0
FW.Library;No;0
FW.NYAssemblyDistricts;Yes;4
FW.NYSenateDistricts;Yes;4
FW.MunicipalRecreation;Yes;2
FW.TollPlaza;No;0
FW.TouristInfo;No;0
FW.StateShoreline;No;0
FW.AdirondackCatskill;Yes;2
FW.VAHospital;No;0
FW.Exit;No;0
FW.ServiceArea;No;0
FW.Hospital;Yes;3
FW.NortheastStates;No;0
FW.MPOBoundaries;No;0
FW.InterstateMilepostRoute;No;0
FW.FHWAUrbanAreas2010;Yes;3
FW.AirportBoundary;No;0
FW.NYPowerCompanies;No;0
FW.USCongressionalDistricts;Yes;4
FW.SchoolDistricts;No;0
FW.TransportationTerminal;No;0
FW.Railroad;Yes;1
FW.ReferenceMarker;Yes;91
FW.NYGasCompanies;No;0
FW.FederalRecreation;Yes;2
FW.DOTRegionsShoreline;Yes;2
FW.PostalInventory;No;0
FW.ACEPorts;No;0
FW.County;Yes;4
FW.AirTerminal;No;0
FW.LinearHydrography;Yes;2
FW.VillageShoreline;Yes;1
FW.AreaHydrography;Yes;2
FW.FHWAUrbanAreas2000;No;0
FW.BusStation;Yes;3
FW.Heliport;No;0
FW.Customs;No;0
FW.CityTax;No;0
FW.PublicSchool;No;0
FW.StateCampground;No;0
FW.GovernmentOffice;No;0
FW.CityTown;Yes;2
FW.Hydrography3m;No;0
FW.InterstateMilepost;No;0
FW.MajorHighway;Yes;2
FW.GeneralHydrography;No;0
FW.CityTownShoreline;Yes;2
FW.DOTFacility;Yes;2
FW.Locks;No;0
FW.Bridge;Yes;7
FW.StreetsSimpleNew;No;0
FW.RefMkrRoute;No;0
FW.DOTTowers;No;0
FW.Institution;No;0
FW.CollegeUniversity;No;0
FW.State;Yes;1
FW.BoatLaunch;No;0
FW.ParkingArea;No;0
FW.DOTRegions;Yes;13
FW.PlaceLocation;No;0
FW.StreetsSimple;Yes;2
FW.StateNonRecreation;No;0
FW.PassengerStations;No;0
FW.FreightStations;No;0
FW.RailroadRemoved;No;0
FW.Maneuver;No;0
FW.MilepointRoute;Yes;7
FW.NYEconomicDevelopmentRegions;No;0
FW.NursingHome;No;0
FW.StateRecreation;Yes;2
FW.DOTResidencies;Yes;4
FW.Village;Yes;3
FW.FederalNonRecreation;No;0
FW.BoundaryLine;No;0
FW.Junctions;No;0
FW.InnerCityTax;No;0
FW.Fairground;No;0
FW.CountyShoreline;Yes;6
FW.PointOfInterest;No;0
FW.BikeRoutes;No;0
GIS.R7_Traffic_Control_Devices;No;0
GIS.NH_IA_EasternSpadefootToad;No;0
GISLINK.BDIS_LARGECULVERTS_DATA;No;0
GIS.TravelRestrictions;No;0
GIS.BPO_Verizon_CAF;No;0
GISLINK.MV_WTA_WINTER_VIEW_DEV;No;0
GIS.NH_polygons_060602;No;0
GIS.SV_BDIS_BRIDGES_TEST;Yes;4
GIS.BPO_Cable_GreaterEqual100_Dis;No;0
GIS.UTICA125;No;0
GIS.NH_CONUS_wet_linears_utm;No;0
GIS.SP_Truck_Access_Routes;Yes;1
GIS.PSS_UNMAPPABLE_DEV;No;0
GIS.BPO_FixW_25_to_99_Dissolve;No;0
GISLINK.MV_GIS_LCIS_CLVR_DATA_TEST;No;0
GIS.R7_Linear_Contracts;Yes;1
GISLINK.MV_BORING_SAMP_GIS_TEST;No;0
GIS.BPO_FixW_GreaterEqual100_Dis;No;0
GIS.BPOMaxAdDown062015_v2_WGS;No;0
GIS.BPO_WGS_Cable_25_to_99_Dis;No;0
GIS.CITYTOWN_DELETEME;No;0
GIS.shield_pnts_state;No;0
GIS.NH_IA_PeregrineFalcon;No;0
GIS.BPO_Bid_On_CBs_Phase1;No;0
GIS.CIIS_TABLE;No;0
GIS.Specialty_PIL;Yes;3
GIS.NYVertical;No;0
GIS.FloorPlan_Features;Yes;1
GISLINK.MV_GIS_BRIDGE_PERMIT_DATA_TEST;No;0
GIS.CountyWithBuffer_DeleteME;No;0
GIS.HOOCS_Restrictions;Yes;1
GIS.Floorplan_EmptyFile;No;0
GIS.RDV_QuadIndex;No;0
GIS.Zoom_To_Boundary;No;0
GIS.R7_Speed_Limit;No;0
GIS.R7_Linear_Contract;No;0
GIS.NH_nynhp_dot_comms;No;0
GIS.EmergencyEventPhotos;Yes;3
GIS.CPU_Flood_Watch_Bridge_List;Yes;3
GIS.DOT_Stockpile_FacilitiesO;No;0
GIS.RIS_POINT_FEATURES_TEST;No;0
GIS.RD_Railroad_Removed_Search;No;0
GIS.PointsofEntry_fc;No;0
GIS.ThroughRoutesAll;No;0
GIS.R7_2008_HAL;No;0
GIS.AADT_Current;No;0
GIS.HwyWidthRestrictionsAll;No;0
GIS.StrV_LARGE_CULVERTS_DEV;No;0
GIS.NYEconDevReg_WebMerc;No;0
GIS.CPU_PavementNeedsWithDesc;Yes;9
GIS.gnisFeature;No;0
GIS.BPO_WGS_Fiber_lessThan25_Dis;No;0
GIS.SV_GIS_BRIDGE_PERMIT_DATA_TEST;No;0
GIS.NonStateTouringRoute;Yes;1
GIS.RD_Freight_Stations;Yes;1
GIS.CPU_Ramps;Yes;3
GIS.NYWORKS_Highway_PTS;No;0
GIS.BPO_WGS_Fiber_GrtrEqual100_Dis;No;0
GIS.R7_Adopt_A_Highway;No;0
GIS.RegionalEconomicDevelopment;No;0
GISLINK.MV_CAPITAL_PROJECTS_BRIDGE;No;0
GIS.R1_SH_Number;No;0
GIS.BDIS_LARGECULVERTS;Yes;4
GIS.NECORS;No;0
GIS.PIL;Yes;3
GIS.RIS_LINEAR_FEATURES;Yes;99
GIS.DOT_Facility;Yes;4
GIS.NYPLAN;No;0
GIS.BPO_Charter_TW_Franchise;No;0
GIS.Floorplan_Conf_Rooms;Yes;1
GIS.ActiveHighwayProjectsWM;Yes;1
GIS.BPO_DSL_All_Dissolve;No;0
GIS.BPO_FixW_lessThan25_Dissolve;No;0
GIS.NYEconomicDevelopmentRegions;No;0
GISLINK.MV_GIS_MEXIS_BIKING_DEV;No;0
GIS.StrV_LARGE_CULVERTS_TEST;No;0
GIS.BPO_Underserved_CBs_Phase1;No;0
GIS.MajorHighwayProjectsPts;No;0
GIS.FloorPlan_Cubes;Yes;3
GIS.CPU_CARD_FxdObjROR_Count_Rate;No;0
GIS.BORING_LOCATIONS_UNMAPPABLE;No;0
GIS.shield_pnts_county;No;0
GIS.Interchanges;No;0
GIS.pmi_nyHarn;No;0
GIS.BORING_TABLE;No;0
GIS.R7_Truck_Access_Routes;No;0
GIS.Business;Yes;3
GIS.R7_2008_PIL;No;0
GIS.R7_2008_PII;No;0
GIS.University;Yes;3
GIS.Mobile_Outfalls_SPDES;No;0
GIS.NYWORKS_Bridges;No;0
GIS.ReportingLayer2007_2008_PreTio;No;0
GIS.ActiveRegionwideProjectsWM;No;0
GIS.UnbuiltArterial;Yes;2
GIS.HARN2002;No;0
GIS.SV_BRIDGE_INV_DATA_DEV;No;0
GIS.CPU_Culvert_Impacts;Yes;3
GIS.BPO_Census_Blocks_2010;No;0
GIS.CPU_Bridge_CurrentWorkCosts;No;0
GISLINK.MV_GIS_LCIS_CLVR_DATA_DEV;No;0
GIS.BPO_Cable_All_Dissolve;No;0
GIS.WaiverBridges;No;0
GIS.SAMPLES;No;0
GIS.BPO_Fiber_25_to_99_Dissolve;No;0
GIS.MajorBridgeProjects;No;0
GIS.BPO_Fiber_All_Dissolve;No;0
GISLINK.MV_GIS_BIKING_FACILITIES_DEV;No;0
GIS.NH_DEC_regions;No;0
GIS.ReportingLayer2006_2007;No;0
GIS.BPO_REDC;No;0
GIS.PSS_HIGHWAY_PROJECTS_DEV;Yes;5
GIS.BPO_Layer1;No;0
GISLINK.MV_BORING_PROJ_GIS;No;0
GISLINK.MV_WTA_WINTER_VIEW_TEST;No;0
GIS.ms4_Outfall_DEV;No;0
GIS.CulvertLocations_dev;No;0
GIS.BDIS_BRIDGES;Yes;11
GIS.PMI_Orthos;Yes;1
GISLINK.MV_DIRECTORY_DEV;No;0
GIS.FederalAidEligibleRoads;Yes;2
GIS.UncontrolledCrosswalks;No;0
GIS.PSS_HIGHWAY_TABLE_DEV;No;0
GIS.BPO_Cable_25_to_99_Dissolve;No;0
GIS.R7_Municipal_Snow_Routes;No;0
GIS.SV_LARGECULVERTDATA_DEV;Yes;1
GIS.NH_arcs_060602;No;0
GIS.POUGHKEEPSIE125;No;0
GIS.FunctionalClass;Yes;1
GIS.ROCHESTER125;No;0
GIS.R7_State_Snow_Routes;No;0
GIS.BPO_MaxAdDown_06_2015_v2;No;0
GIS.Jeff_drop_inlets;No;0
GIS.ABP_DBB;No;0
GIS.BPO_ConnectNY_CB_List;No;0
GISLINK.MV_BDIS_LARGECULVERTS_TEST;No;0
GIS.NH_IA_Birds_SaltMarsh;No;0
GISLINK.MV_CAPITAL_PROJECTS_LOCATED;No;0
GIS.BPO_DSL_lessThan25_Dissolve;No;0
GIS.R1C_Point_Contracts;No;0
GIS.CPU_AirportData;Yes;3
GIS.BPO_WGS_DSL_lessThan25_Dis;No;0
GIS.Bridge_Names;No;0
GIS.R1C_Linear_Contracts;No;0
GIS.BPOAvailability062015_v2_WGS;No;0
GIS.ABP_Bridges;No;0
GIS.BPO_Unserved_CBs_Phase1;No;0
GIS.gnisPlace;No;0
GIS.RD_Railroad_Removed;Yes;1
GIS.Floorplan_Outline_pts;No;0
GIS.ABP_DB;No;0
GISLINK.MV_SOS_SUBRES4GIS_DEV;No;0
GIS.NH_nynhp_dot_potential;No;0
GIS.ms4_Outfall_DEV__ATTACH;No;0
GIS.BDIS_BRIDGES_TEST;Yes;1
GIS.SV_BIKEROUTES;No;0
GIS.NYCOrderHorizontal;No;0
GIS.NH_cover_type_polygons;No;0
GIS.BPO_FixW_All_Dissolve;No;0
GIS.shield_pnts;No;0
GIS.Bridge;No;0
GIS.PSS_BRIDGE_PROJECTS_DEV;Yes;5
GIS.NYStreets;No;0
GIS.BPO_Availability_WGS;No;0
GIS.CulvertPoints;No;0
GIS.RailBridges;No;0
GIS.r7_2012_hal;No;0
GIS.BackgroundHydro;No;0
GIS.CPU_Bridges_Impact;Yes;3
GIS.DOT_Stockpile_Facilities;No;0
GIS.RestAreas;No;0
GIS.Rail_Trail;No;0
GIS.CPU_NHSPlus;Yes;3
GISLINK.MV_GIS_BRIDGE_PERMIT_DATA_DEV;No;0
GIS.BPO_REDC_WGS;No;0
GIS.MajorShoppingCenter;Yes;3
GIS.RD_School_District_Boundaries;Yes;1
GIS.BackgroundHydro_full;No;0
GIS.R7_Tax_Parcels_Agencies;No;0
GIS.CPU_CARD_HeadOn_Count_Rate;Yes;3
GIS.CulvertLocations_test;No;0
GIS.CPU_Sidewalks;Yes;3
GIS.ModularHomeRoutes;Yes;2
GIS.NH_IA_Wormsnake;No;0
GIS.Valuation_Maps;Yes;1
GIS.Grade_Crossings;No;0
GIS.CPU_BRIDGE_INV_CWS_DEV;Yes;3
GIS.BORING_LOCATIONS;No;0
GIS.NH_IA_SouthernLeopardFrog;No;0
GIS.NH_IA_Tiger_Salamander;No;0
GIS.CPU_Roads_Impact;Yes;3
GISLINK.MV_BORING_PROJ_GIS_TEST;No;0
GIS.BikeFacilities;No;0
GISLINK.MV_BOR_BORING_GIS;No;0
GIS.StrV_Region_Residency_County;Yes;3
GIS.PH1ACCBridges;No;0
GIS.NH_tidal;No;0
GISLINK.MV_GCI_CROSSINGS_CURRENT_DEV;No;0
GISLINK.MV_GCI_ARCSDE93;No;0
GISLINK.MV_BORING_SAMP_GIS;No;0
GIS.R7_shlimits;Yes;1
GIS.NYC125;No;0
GIS.BPO_WGS_FixW_lessThan25_Dis;No;0
GIS.TruckAccess;No;0
GIS.NYWORKS_Highway;No;0
GIS.NH_regulatory_polygons;No;0
GIS.R7_SH_Tick_Mark;Yes;1
GIS.ActiveBridgeProjectsWM;Yes;1
GISLINK.MV_BOR_BORING_GIS_TEST;No;0
GIS.ActiveLocatedProjectsWM;Yes;1
GIS.SV_LARGECULVERTDATA_TEST;No;0
GIS.RD_Passenger_Stations;Yes;4
GISLINK.MV_SOS_SUBRES4GIS_TST;No;0
GIS.DOTRegionOffices_WebMerc;No;0
GIS.Floorplan_Outline;Yes;1
GIS.APBPhaseBoundries;No;0
GIS.EmergencyEventPhotosWGS84;No;0
GIS.PSS_HIGHWAY_POINT_WEBMERC_DEV;No;0
GIS.SV_GIS_BRIDGE_PERMIT_DATA_DEV;Yes;2
GIS.NEStates;No;0
GIS.RIS_POINT_FEATURES;Yes;15
GIS.R7_2010_Parcel_Centroids;No;0
GIS.CPU_RoadwayInventory;No;0
GIS.NYSDOTCORS;No;0
GIS.gnisHydro;No;0
GIS.Cities_DeleteMe;No;0
GIS.NH_CONUS_wet_poly_utm;No;0
GIS.ActiveHighwayProjectsPtsWM;Yes;1
GISLINK.MV_BDIS_BRIDGES_TEST;No;0
GIS.BPO_DSL_25_to_99_Dissolve;No;0
GIS.Short_Counts;No;0
GIS.r7_2010_hal;No;0
GIS.R7_Area_Speed_Zones;No;0
GIS.R7_2007_Parcel_Centroids;No;0
GIS.R7_Overheadsigns;Yes;1
GIS.WESTLONG125;No;0
GIS.BPO_WGS_DSL_GrtrEqual100_Dis;No;0
GIS.BPO_Fiber_GreaterEqual100_Dis;No;0
GIS.NH_cover_type_arcs;No;0
GIS.RoadwayInventory;Yes;21
GIS.HwyWidthRestrictions;No;0
GIS.PMI_Mapping;Yes;1
GIS.ReportingLayer;No;0
GIS.OffSystemCounts;No;0
GIS.PMI_SPCS_Zones;No;0
GIS.BPO_Census_Blocks_2010_Light;No;0
GIS.BPO_Cable_lessThan25_Dissolve;No;0
GISLINK.MV_GIS_INV_DATA_TEST;No;0
GIS.FloorPlan_Street_Ave_Pod;Yes;1
GIS.r7_2010_pii;No;0
GIS.R7_Adopt_A_Highway_New;No;0
GIS.NH_IA_Communities_palustrine;No;0
GIS.PMI_Mapping_WGS;No;0
GIS.BPO_WGS_Cable_lessThan25_Dis;No;0
GIS.BORING_LOCATIONS_WRONG_COUNTY;No;0
GIS.BikeRoutes_NotClipped;No;0
GIS.BDMS_BRIDGE_PERMIT_DATA;No;0
GIS.ROME125;No;0
GIS.RD_Railroad_Search;Yes;1
GIS.BPO_Fiber_lessThan25_Dissolve;No;0
GIS.CAPITAL125;No;0
GIS.NYWORKS_CFA_Projects;No;0
GIS.r7_2012_pii;No;0
GIS.NH_nynhp_dot_known;No;0
GIS.BPO_WGS_DSL_25_to_99_Dis;No;0
GIS.Salt_Fuel_locations;Yes;3
GIS.BUFFALO125;No;0
GIS.BPO_ConnectNY_CB_List_Intrsct;No;0
GIS.Parkways;Yes;1
GIS.CPU_BikeWalkPotential;Yes;3
GIS.RDV_Rail_Crossings;Yes;5
GIS.LocatedCapitalProjects_WebMerc;No;0
GIS.NH_IA_FenceLizard;No;0
GIS.MPOBoundaries;Yes;1
GISLINK.MV_ADA_SIDEWALK;No;0
GISLINK.MV_CAPITAL_PROJECTS_HIGHWAY;No;0
GIS.SV_STKPL_STATUS_DEV;Yes;7
GIS.LargeCulverts;Yes;1
GIS.CPU_Stwd_CARD_Elgbl_Segs;Yes;3
GIS.RIS_LINEAR_FEATURES_TABLE;No;0
GIS.CPU_CARD_Status;Yes;3
GIS.NH_regulatory_arcs;No;0
GIS.PointsofEntry;Yes;1
GIS.SYRACUSE125;No;0
GIS.R7_Bridge_Inspection;Yes;1
GIS.RIS_LINEAR_FEATURES_TEST;No;0
GIS.BPO_WGS_Fiber_25_to_99_Dis;No;0
GIS.BPO_NoBroadbandAvailable_Dis;No;0
GIS.CirisCrashData;No;0
GISLINK.MV_GIS_INV_DATA_DEV;No;0
GIS.Continuous_Count;No;0
GIS.NYHYD3M_WATER;No;0
GIS.BikeRoutes;Yes;1
GIS.BINGHAMTON125;No;0
GIS.CulvertLocations;No;0
GIS.LocationZoomPoints;No;0
GIS.NH_hydric_soils;No;0
GIS.SignalizedIntersections;No;0
GIS.MajorHighwayProjects;No;0
GIS.ALB_CrashCrimePilot;No;0
GIS.LOCATIONPOINTS;No;0
GIS.FHWAUrbanAreas2000;No;0
GISLINK.MV_DIRECTORY_TEST;No;0
GIS.BPO_WGS_CountyShoreline;No;0
GIS.BW250;No;0
GIS.SIMPLEBRIDGE_DELETEME;No;0
GIS.BPO_WGS_Cable_GrtrEqual100_Dis;No;0
GIS.SMALL_CULVERTS_DEV;Yes;3
GIS.RD_Yards;Yes;1
GIS.PMI_Photos;Yes;1
GIS.FDRStructures;Yes;1
GIS.BPO_DSL_greaterEqual100_Dis;No;0
GIS.BPO_WGS_FixW_GrtrEqual100_Dis;No;0
GIS.ScourCriticalFloodProne;No;0
GIS.RD_Rail_Bridges;Yes;1
GIS.CPU_BridgeFlags;No;0
GIS.CPU_PII;No;0
GISLINK.MV_SSA_STATUS;No;0
GIS.GCI_UPDATE10_04;No;0
GIS.BPO_WGS_FixW_25_to_99_Dis;No;0
GIS.LOWHUD125;No;0
RSDA.DAMAGE_ASSESSMENTS_HISTORY;No;0
RSDA.ROAD_STATUS;Yes;2
RSDA.ROAD_STATUS_HISTORY;No;0
RSDA.DAMAGE_ASSESSMENTS;No;0
RSDA.DA_Test;No;0
SPDES.Stormwater_Outfall;Yes;2
SDE.DBTUNE_20170215;No;0
SPDES.Outfallold;No;0
SPDES.ms4_outfall;No;0
SPDES.Outfall;No;0
